,C1 Knowledge,C2 Reasoning,C3 ICL Score,C4 Faithfulness,C5a Prompt Robust.,C5b Domain Robust.,C5c Multilingual,W1 Unsafe Refusal,W1 Underspec. Comp.,W2 Coverage,W2 Overreach,W3a Verbosity,W3b Formatting Use,H1 Instructions,H2 Format Fidelity,H3 Tool Use,H4 Multi-turn,H5 Long-Context,H6 Citation Score
Qwen3 80B DPO,9.445730916231682,-0.37088548408829447,0.18493157609622318,-0.12752609713873575,-0.4443678387340395,-0.17703176927193146,-16.40856532145087,-1.2974051896207486,0.477164280845278,-2.648848158634513,-0.03391594227947892,-4.304815327075874,-3.4096225104997053,0.6152516353419145,-1.2101151898986402,0.18809591679634602,-0.1973246925889075,0.21412461887470474,0.05424361813188322
Qwen3 80B IFT,6.728076111047144,-1.0175579877870764,0.25132212904493756,0.12037214078392226,0.6507107915558463,2.9912384670803007,-6.134712270155618,1.0978043912175637,2.2494887525562395,-0.2550781580938155,3.1946301691958885,0.6254376154567807,-0.9610615531668367,-0.5878730721862905,-1.1083115601332945,-0.3824833655915222,-0.17323030907280018,0.33788699511233117,-2.686292339459392
Qwen3 80B IFT+DPO,14.944013937508032,-2.30342779919863,0.575388498900004,0.2568981480172038,0.0679602088052696,0.732413023774648,-19.303044121530927,-2.9940119760478936,2.2494887525562395,-4.07268856901387,3.304766024908504,-9.856138090508612,-14.558768089469856,0.17330354832849726,-1.4314047494294373,-1.0251895119011407,-0.568295114656044,1.0136609853370093,-2.722188359377962
