,C1 Knowledge,C2 Reasoning,C3 ICL Score,C4 Faithfulness,C5a Prompt Robust.,C5b Domain Robust.,C5c Multilingual,W1 Unsafe Refusal,W1 Underspec. Comp.,W2 Coverage,W2 Overreach,W3a Verbosity,W3b Formatting Use,H1 Instructions,H2 Format Fidelity,H3 Tool Use,H4 Multi-turn,H5 Long-Context,H6 Citation Score
Qwen3 80B DPO,20.271307970206195,0.8781265043670048,0.3779208504965799,0.23592146257049126,0.02183262746643358,0.14042854818844355,17.505275191839697,0.0,0.0,1.0968463281319791,1.7742877928929972,1.5862210657269065,6.083340586009545,0.05941103332374764,2.2533725994322817,1.133121141144705,0.047773346626785756,0.2809248860757884,0.15106343965952007
Qwen3 80B IFT,12.9986267639256,0.4844427523394917,1.0070426931823175,0.13923325900839684,1.2140910732460073,2.405586929745031,7.430823935160594,0.0,0.0,2.7861996048551076,2.6928424529591197,1.5010951584056171,8.356164649974058,0.5365647089231554,1.7868264957187885,0.5495032145075582,0.026171485543375894,0.4046872623134149,3.272454877910917
Qwen3 80B IFT+DPO,30.60700998894014,5.349538853578688,0.884604514032765,0.1584704916505125,0.6313404904954305,0.21996792860630532,22.49347283538933,0.0,0.0,0.5777409153485307,3.040716488841034,0.5483919946341604,12.131541333792432,0.023378510847240477,2.776979626515195,1.6732154234634873,0.019940179461611363,1.214061786940216,3.6875770375496213
